name,shortname,prop.id,url,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,published_at,voter_participation,approval,version,comments,comment.votes
Decred Europe - Grassroots Marketing and Events Proposal,European Marketing,6ceb278ecd96589f5c9dabcd7ce986bc58ebfe2d4dbb793dd5b21818711b453b,https://proposals.decred.org/proposals/6ceb278ecd96589f5c9dabcd7ce986bc58ebfe2d4dbb793dd5b21818711b453b,3857,6393,10250,2020-02-24 18:05:01,2020-03-03 18:31:20,41332,49000,10,Marketing,FALSE,Rejected,Contractor,Internal,pro rata,0,2020-02-09 14:37:00,0.247991870705507,37.6,2,34,91
RFP MM: Altonomy,MM Altonomy,NA,f,NA,NA,NA,NA,NA,NA,295000,6,Marketmaking,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2019-08-07 19:55:48,NA,NA,NA,NA,NA
Decred Fundamental Metrics Research Proposal - Phase 1,Decred metrics 1,78b50f218106f5de40f9bd7f604b048da168f2afbec32c8662722b70d62e4d36,https://proposals.decred.org/proposals/78b50f218106f5de40f9bd7f604b048da168f2afbec32c8662722b70d62e4d36,10630,889,11519,2019-07-29 12:51:10,2019-08-06 10:27:11,40610,12000,3,Research,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,2019-07-18 13:01:39,0.283649347451367,92.3,3,19,86
Decred Poker Series,Poker Prizes,7a67ed5a1f9965c034d87ff2b6f3580f07e3567250394b5c885c9392ccd85134,https://proposals.decred.org/proposals/7a67ed5a1f9965c034d87ff2b6f3580f07e3567250394b5c885c9392ccd85134,NA,NA,NA,NA,NA,NA,4500,1,Marketing,FALSE,Abandoned,Not a Contractor,Internal,fixed cost,0,2020-08-01 15:02:19,NA,NA,5,15,13
Decred Daily Initiatives Proposal,Decred Daily,7d42c6f4bf3059b64789185af615c1df97cb61a379425933be5ff01d074ed4d5,https://proposals.decred.org/proposals/7d42c6f4bf3059b64789185af615c1df97cb61a379425933be5ff01d074ed4d5,3066,3938,7004,2020-04-09 00:25:59,2020-04-16 21:53:26,41261,5280,6,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2020-03-26 21:50:08,0.169748673081118,43.8,4,17,45
"Decred Radio Advertising, 190+ FM and AM Stations, + Intl. Satellite",Free Talk Live,7fe5d07a4ffff7dc6a83383018823d880b1c1db0a29305e74934817cf2b4e2ce,https://proposals.decred.org/proposals/7fe5d07a4ffff7dc6a83383018823d880b1c1db0a29305e74934817cf2b4e2ce,3591,7276,10867,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,22750,3,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2018-11-28 14:10:52,0.265638368085262,33,1,52,152
Tantra Labs - Market Making Proposal,MM Tantra,82ce113827140caaaf8b5779ab30402d3ed39f1911fdd2e8fa64cf0dc9e09ecb,https://proposals.decred.org/proposals/82ce113827140caaaf8b5779ab30402d3ed39f1911fdd2e8fa64cf0dc9e09ecb,7190,7456,14646,2019-09-04 01:17:12,2019-09-11 21:46:09,40770,100000,6,Marketmaking,FALSE,Rejected,Not a Contractor,External,pro rata,0,2019-08-28 03:04:29,0.359234731420162,49.1,2,50,131
Decred Content Marketing with CriptoNoticias,CriptoNoticias,83b59ef5ab40193a86073abbd93cea13ed6d071eecc78918ab5cf98cba7c7a67,https://proposals.decred.org/proposals/83b59ef5ab40193a86073abbd93cea13ed6d071eecc78918ab5cf98cba7c7a67,3804,8608,12412,2020-04-20 00:06:08,2020-04-27 20:37:19,40859,5900,2,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2020-04-11 22:41:00,0.303776401771947,30.6,2,10,18
Stable coin - USDD,USDD,85fc65cef080cfc3564906fd3d488b827d74fc99bb29143ed8aa6c400b765be9,https://proposals.decred.org/proposals/85fc65cef080cfc3564906fd3d488b827d74fc99bb29143ed8aa6c400b765be9,NA,NA,NA,NA,NA,NA,1576000,48,Misc,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2018-12-04 14:04:10,NA,NA,4,9,39
RFP: Change the messaging on decred.org,RFP1: messaging,91beceac460d9b790a01fb2e537320820bab66babfeb5eb49a022ea5952b5d73,https://proposals.decred.org/proposals/91beceac460d9b790a01fb2e537320820bab66babfeb5eb49a022ea5952b5d73,9963,1779,11742,2020-09-14 00:48:23,2020-09-21 20:51:05,41055,5000,0,RFP,FALSE,Approved,Contractor,Internal,NA,0,2020-09-09 18:58:24,0.286006576543661,84.8,2,7,21
Content Production for Decred in russian,Russian Content,92e3f2176b332c1aea5887acd2324c2cd730ec450e563df52ddae9d5927d5d36,https://proposals.decred.org/proposals/92e3f2176b332c1aea5887acd2324c2cd730ec450e563df52ddae9d5927d5d36,1766,6478,8244,2020-02-12 17:33:28,2020-02-20 18:08:20,40963,2000,2,Marketing,FALSE,Rejected,Not a Contractor,Internal,pro rata,0,2020-02-09 14:36:46,0.201254790908869,21.4,1,10,27
Fiat Pairs integration on EXMO Exchange,EXMO exchange,950e8149e594b01c010c1199233ab11e82c9da39174ba375d286dc72bb0a54d7,https://proposals.decred.org/proposals/950e8149e594b01c010c1199233ab11e82c9da39174ba375d286dc72bb0a54d7,5608,3392,9000,2019-04-19 05:43:46,2019-04-26 22:07:40,41606,23800,1,Integration,FALSE,Approved,Not a Contractor,External,fixed cost,0,2019-04-02 15:36:53,0.21631495457386,62.3,2,25,86
Video Content Production for Decred,Exitus Video 1,95cfb73254a032b2c199c37bb499d6f172d044b1f38016279c5bbca6572251f0,https://proposals.decred.org/proposals/95cfb73254a032b2c199c37bb499d6f172d044b1f38016279c5bbca6572251f0,9409,765,10174,2020-02-06 15:46:47,2020-02-14 16:45:52,40971,14400,6,Marketing,PARTIAL,Approved,Not a Contractor,Internal,pro rata,0,2020-01-31 18:01:22,0.24832198384223,92.5,1,40,63
TV Marketing For Decred (DCR),TV Marketing,9eaafc20f206776e38642e272233390f351c5562c3835369a558cc7d7e341018,https://proposals.decred.org/proposals/9eaafc20f206776e38642e272233390f351c5562c3835369a558cc7d7e341018,972,10994,11966,2020-06-14 21:19:45,2020-06-22 17:57:06,40918,110000,3,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2020-05-18 21:36:53,0.292438535607801,8.1,1,55,156
