"","name","url","yes_votes","no_votes","total_votes","ticket_representation","voting_startdate","voting_enddate","eligible_tickets","cost","duration","domain","arrears","state","contractor","internal","author","submitted_at","published_at"
"19","Decredex","https://proposals.decred.org/proposals/e78bc28631d0e682912e3ece25944481bf978b906ea44b1ed36470c0f48b27fc",456,11008,11464,28.0231733848297,"2018-12-03 16:14:46","2018-12-11 14:02:46",40909,1086500,7,"Software Development","FALSE","Rejected",FALSE,"External","6f944b67bd09628415ad4fed7535db423651b9932609aa17d82ff9c42fb3732e",1543237254,1543414240
"20","Bring decred to Africa (Ghana) Adoption program for merchants and businesses","https://proposals.decred.org/proposals/dac06f18bfeb5f7667e56554774de3bb99151018ce16a64f5353bab45819763b",503,8833,9336,22.7662895044869,"2019-04-04 19:11:52","2019-04-12 16:39:12",41008,29314,3,"Marketing","FALSE","Rejected",FALSE,"External","9a21d841e209056eb58e97a10a3d97a17e63b5d2456dd0129f1fa06c11a7b818",1554192994,1553095414
"21","Decred integration into Crypto-ATMs","https://proposals.decred.org/proposals/bb7e19283d5c65fed598d5a2f4afcc2b5d2eab187b9cb84fc4304430f80b5ad1",1448,11388,12836,31.3769586154636,"2018-12-03 16:14:46","2018-12-11 14:02:46",40909,50000,2,"Integration","FALSE","Rejected",FALSE,"External","478ba6d394b0a2252f7fcb65ed0727097367e1f747c4e65008ac7ac5db1f9b1d",1543757263,1543414261
"22","Decred Integration for IDAX Exchange","https://proposals.decred.org/proposals/60adb9c0946482492889e85e9bce05c309665b3438dd85cb1a837df31fbf57fb",2381,7255,9636,23.4264459193348,"2019-02-26 17:34:08","2019-03-06 15:42:19",41133,5000,1,"Integration","FALSE","Rejected",FALSE,"External","3ec408dc7c50dd4dfc02c3264c4a40037ec06b05a6a802ca4a770998049c3786",1551164319,1551184807
"23","Decred Radio Advertising, 190+ FM and AM Stations, + Intl. Satellite","https://proposals.decred.org/proposals/7fe5d07a4ffff7dc6a83383018823d880b1c1db0a29305e74934817cf2b4e2ce",3090,6917,10007,24.4616099146887,"2018-12-03 16:14:46","2018-12-11 14:02:46",40909,22750,3,"Marketing","FALSE","Rejected",FALSE,"External","b719b0bee46a2fb08a1d31f5b81577f886c1d51707da860645757ea28cc19e03",1543199150,1543414252
"24","Wachsman Communications Proposal for Decred","https://proposals.decred.org/proposals/bc8776180b5ea8f5d19e7d08e9fcc35f0d1e3d16974963e3e5ded65139e7b092",3646,9556,13202,32.2330191903902,"2018-10-28 20:04:24","2018-11-05 19:26:12",40958,120000,6,"Marketing","FALSE","Rejected",FALSE,"External","2e7b5d746bc2765a256ca0e379be18f72d1957eb4347247a1a23ee095a57d443",1540478610,1540057797
"25","Fiat Pairs integration on EXMO Exchange","https://proposals.decred.org/proposals/950e8149e594b01c010c1199233ab11e82c9da39174ba375d286dc72bb0a54d7",5608,3392,9000,21.631495457386,"2019-04-19 05:43:46","2019-04-26 22:07:40",41606,23800,1,"Integration","FALSE","Approved",FALSE,"External","915f08766972d9dcad6202bc53b8c4f7b9ca4c0ae05ce3dc193ba48921ddcd75",1554735904,1554215813
"26","Trust Wallet - Integration with Decred","https://proposals.decred.org/proposals/2ababdea7da2b3d8312a773d477272135a883ed772ba99cdf31eddb5f261d571",6239,3075,9314,22.8289909066399,"2019-03-26 21:41:53","2019-04-03 20:53:42",40799,3300,1,"Integration","FALSE","Approved",FALSE,"External","6336046c6f360e4a86f360e7802a5939642f2a4b668fdc01bfeef6040608f43b",1553112513,1551794294
"27","Grapefruit Trading Market Making proposal","https://proposals.decred.org/proposals/4becbe00bd5ae93312426a8cf5eeef78050f5b8b8430b45f3ea54ca89213f82b",6286,7059,13345,32.7324012754476,"2019-09-04 01:17:12","2019-09-11 21:46:09",40770,185000,6,"Marketmaking","FALSE","Rejected",FALSE,"External","4e745973d789988916efc0bedc426a5f253910ef37255fbe650a5bcfd39663fc",1566840647,1565204195
"28","Decred ATM Integration - Approval for Planning Phase","https://proposals.decred.org/proposals/aea224a561cfed183f514a9ac700d68ba8a6c71dfbee71208fb9bff5fffab51d",6696,6051,12747,31.620072929328,"2019-03-25 22:23:56","2019-04-02 22:50:52",40313,1000,1,"RFP","FALSE","Rejected",TRUE,"External","6336046c6f360e4a86f360e7802a5939642f2a4b668fdc01bfeef6040608f43b",1551073779,1550504501
"29","Tantra Labs - Market Making Proposal","https://proposals.decred.org/proposals/82ce113827140caaaf8b5779ab30402d3ed39f1911fdd2e8fa64cf0dc9e09ecb",7190,7456,14646,35.9234731420162,"2019-09-04 01:17:12","2019-09-11 21:46:09",40770,1e+05,6,"Marketmaking","FALSE","Rejected",FALSE,"External","46282ad3959b0f5f492aa782dbac7112b9f48bdb4346e20100224f1a2c478f18",1567569471,1566957869
"30","Proposed Statement Of Work (SOW) For Decred Blockchain Wallet Tutorial Campaign","https://proposals.decred.org/proposals/a3def199af812b796887f4eae22e11e45f112b50c2e17252c60ed190933ec14f",7821,1997,9818,23.3428435568236,"2019-02-21 22:44:06","2019-03-01 17:41:11",42060,750,1,"Marketing","FALSE","Approved",FALSE,"Internal","cd71155ab0f7944118e8a9ed46bdde77d4724f61f2c9ebffaf898308f0185b92",1550618248,1550504515
"31","A Journey to the Future of Work- Telling the DCR story through Politeia","https://proposals.decred.org/proposals/b9f342a0f917abb7a2ab25d5ed0aca63c06fe6dcc9d09565a9cde3b6fe7e6737",8787,9284,18071,43.8584569084775,"2019-05-21 18:12:30","2019-05-29 13:42:49",41203,2400,1,"Marketing","FALSE","Rejected",FALSE,"External","947e2d3d5ed7dfaff737bb90163b46d68d7dafe02c31566184af2c71b224b2e7",1558044169,1557161014
"32","Decentralize Treasury Spending","https://proposals.decred.org/proposals/c96290a2478d0a1916284438ea2c59a1215fe768a87648d04d45f6b7ecb82c3f",8958,231,9189,22.5016529127997,"2019-05-05 23:51:34","2019-05-13 22:04:16",40837,250000,12,"Software Development","FALSE","Approved",TRUE,"Internal","a3cabbac727b0bce49f1dd2466f38ca62681cd6d48880e1c5ddf28635bf6681e",1554215531,1554215825
"33","Research & Publication of On-Chain DCRUSD & DCRBTC Indicators","https://proposals.decred.org/proposals/f0d1bd7447182328b44c691de88cb660b63df17f1f3a94990af19acea57c09bb",9050,1857,10907,26.6407757504702,"2019-09-24 17:07:04","2019-10-02 15:11:21",40941,16500,3,"Research","PARTIAL","Approved",FALSE,"Internal","1b71a61a2b246e60a358f3a3a9f19704e8dece58ca58f2955b1774b522bbc731",1568663207,1567731626
"34","Ditto Communications Proposal for Decred: Phase 2","https://proposals.decred.org/proposals/52ea110ea061c72d3b31ed2f5635720b212ce5e3eaddf868d60f53a3d18b8c04",9161,2933,12094,29.2443477209527,"2019-06-02 20:04:48","2019-06-10 17:31:18",41355,150000,6,"Marketing","FALSE","Approved",TRUE,"External","c6e4610c5a6c12076673c93c8817bb10b9bae651d36d5f6fa97d73b465d8e051",1559147404,1559141875
"35","Website for the Decred community","https://proposals.decred.org/proposals/fb8e6ca361c807168ea0bd6ddbfb7e05896b78f2576daf92f07315e6f8b5cd83",9912,3764,13676,33.0761603018357,"2019-02-25 13:52:11","2019-03-05 13:33:36",41347,10000,6,"Marketing","PARTIAL","Approved",TRUE,"Internal","e0e3133b3d628b5975dc30151aa9e1c66491595d90a84f5fde5a2ef5edb4d831",1551006610,1550862462
