username,comments,upvotes,downvotes,score.of.comments,score.per.comment,proposals
lhb,0,5,0,0,NA,0
nahc,1,2,1,0,0,0
timhebel,0,1,0,0,NA,0
gaurav_blocknext,0,1,1,0,NA,0
carlosccp,0,1,1,0,NA,0
knaq,0,2,0,0,NA,0
lustrousgorilla,1,0,0,0,0,0
jsterling8,4,7,1,-1,-0.25,0
hamforashshem,1,0,0,-1,-1,0
sikas,3,19,1,-2,-0.67,0
hopeful_for_tomorrow,2,4,7,-2,-1,0
tututen,1,2,0,-5,-5,0
burst,6,12,4,-5,-0.83,1
limited,21,0,0,-5,-0.24,1
alexis,29,34,21,-48,-1.66,0
