"username","comments","upvotes","downvotes","commentscore","selfvotes","score.per.comment","votes","proposals"
"bigfrizzy",3,16,2,1,0,0.33,18,0
"aronb",1,5,1,1,0,1,6,0
"rramires",2,3,0,1,0,0.5,3,0
"sammysunshine",1,4,1,1,0,1,5,0
"ggeorgiev",1,0,0,1,0,1,0,0
"bogdan_rud",2,0,0,1,0,0.5,0,1
"leakybean",0,123,9,0,0,NA,132,0
"vvesi",0,12,0,0,0,NA,12,0
"test",1,1,1,0,0,0,2,0
"kandiru",0,15,0,0,0,NA,15,0
"joesri",0,11,2,0,0,NA,13,0
"sl1200mk5",0,43,0,0,0,NA,43,0
"jpm",0,10,1,0,0,NA,11,0
"issedjur",0,19,4,0,0,NA,23,0
"jkramergsr",0,3,0,0,0,NA,3,0
"scooter_d",0,12,8,0,0,NA,20,0
"coinman",0,7,1,0,0,NA,8,0
"al-maisan",0,1,0,0,0,NA,1,0
"sndurkin",0,0,1,0,0,NA,1,0
"oxf",0,4,0,0,0,NA,4,0
"politeia_user",0,30,2,0,0,NA,32,0
"3lian",0,1,0,0,0,NA,1,0
"pedroabreu",0,2,0,0,0,NA,2,0
"orbital",0,3,0,0,0,NA,3,0
"ardberg",0,1,1,0,0,NA,2,0
"rstaudt2",0,6,0,0,0,NA,6,0
"mvz1keon7zwkcob",0,2,0,0,0,NA,2,0
"jiecut",0,3,1,0,0,NA,4,0
"life",1,0,0,0,0,0,0,0
"vanjan",0,1,0,0,0,NA,1,0
"evan",0,1,1,0,0,NA,2,0
"dominicting",2,0,0,0,0,0,0,0
"jzsantoro",0,1,0,0,0,NA,1,0
"lhb",0,5,0,0,0,NA,5,0
"nahc",1,2,1,0,0,0,3,0
"timhebel",0,1,0,0,0,NA,1,0
"gaurav_blocknext",0,1,1,0,0,NA,2,0
"carlosccp",0,1,1,0,0,NA,2,0
"knaq",0,2,0,0,0,NA,2,0
"lustrousgorilla",1,0,0,0,0,0,0,0
"jsterling8",4,7,1,-1,3,-0.25,8,0
"hamforashshem",1,0,0,-1,0,-1,0,0
"sikas",3,19,1,-2,0,-0.67,20,0
"tututen",1,2,0,-5,0,-5,2,0
"burst",6,12,4,-5,4,-0.83,16,1
"limited",21,0,0,-5,0,-0.24,0,1
"alexis",29,34,21,-48,22,-1.66,55,0
